Year,Name,Event,Round,Scores
2016,I. Ferreira,Quiksilver Pro Gold Coast,Round 1,"['5.17', '3.33', '6.83', '1.70', '1.10', '2.27', '4.77', '2.90']"
2016,R. Callinan,Quiksilver Pro Gold Coast,Round 1,"['4.83', '3.80', '6.27', '4.83', '\xa0', '\xa0', '\xa0', '\xa0']"
2016,K. Asing,Quiksilver Pro Gold Coast,Round 1,"['2.67', '2.17', '1.67', '0.27', '2.77', '4.80', '4.00', '\xa0']"
2016,M. Bourez,Quiksilver Pro Gold Coast,Round 1,"['4.50', '3.67', '4.43', '1.70', '2.27', '7.00', '\xa0']"
2016,A. Melling,Quiksilver Pro Gold Coast,Round 1,"['2.67', '0.37', '0.37', '5.50', '4.87', '\xa0', '\xa0']"
2016,J. Wilson,Quiksilver Pro Gold Coast,Round 1,"['0.23', '2.33', '0.47', '1.40', '1.83', '3.73', '0.63']"
2016,F. Toledo,Quiksilver Pro Gold Coast,Round 1,"['4.00', '5.33', '6.53', '7.83', '1.03', '6.17', '0.23', '3.73']"
2016,J. Andre,Quiksilver Pro Gold Coast,Round 1,"['4.67', '0.73', '4.27', '4.00', '6.87', '1.17', '0.70', '6.43']"
2016,S. Kennedy,Quiksilver Pro Gold Coast,Round 1,"['3.83', '6.50', '0.43', '1.70', '0.27', '2.57', '4.17', '\xa0']"
2016,G. Medina,Quiksilver Pro Gold Coast,Round 1,"['2.00', '7.67', '0.17', '0.27', '5.67', '6.50', '0.43', '6.87', '0.33', '2.43', '0.20', '8.50']"
2016,S. Zietz,Quiksilver Pro Gold Coast,Round 1,"['1.67', '4.00', '6.13', '0.40', '0.30', '1.00', '8.67', '4.07', '0.90', '\xa0', '\xa0', '\xa0']"
2016,C. Ibelli,Quiksilver Pro Gold Coast,Round 1,"['2.83', '0.37', '3.77', '1.83', '1.80', '3.20', '0.50', '1.93', '1.83', '4.33', '\xa0', '\xa0']"
2016,M. Fanning,Quiksilver Pro Gold Coast,Round 1,"['4.00', '7.00', '0.43', '8.87', '2.00', '8.37', '3.20', '0.40', '3.43', '\xa0']"
2016,W. Carmichael,Quiksilver Pro Gold Coast,Round 1,"['3.50', '3.70', '6.50', '8.93', '0.20', '0.50', '2.77', '2.07', '5.43', '7.07']"
2016,M. Banting,Quiksilver Pro Gold Coast,Round 1,"['3.00', '4.83', '0.37', '1.67', '0.50', '2.77', '2.13', '5.07', '4.13', '\xa0']"
2016,M. Wright,Quiksilver Pro Gold Coast,Round 1,"['5.17', '3.07', '1.80', '1.07', '1.57', '6.57', '6.87', '6.87']"
2016,A. de Souza,Quiksilver Pro Gold Coast,Round 1,"['0.93', '0.43', '6.00', '0.23', '6.77', '4.33', '6.93', '0.60']"
2016,K. Andino,Quiksilver Pro Gold Coast,Round 1,"['9.10', '3.10', '4.57', '2.50', '0.43 1', '\xa0', '\xa0', '\xa0']"
2016,J. Flores,Quiksilver Pro Gold Coast,Round 1,"['0.50', '5.00', '7.17', '0.50', '0.43', '3.90', '8.73', '2.90', '\xa0', '\xa0']"
2016,D. Cathels,Quiksilver Pro Gold Coast,Round 1,"['3.33', '6.10', '4.90', '6.17', '7.83', '7.17', '5.37', '\xa0', '\xa0', '\xa0']"
2016,A. Buchan,Quiksilver Pro Gold Coast,Round 1,"['3.10', '6.87', '1.87', '3.87', '3.57', '0.57', '3.50', '1.57', '3.77', '2.67']"
2016,M. Wilkinson,Quiksilver Pro Gold Coast,Round 1,"['6.50', '5.73', '0.83', '0.37', '7.67', '9.33', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2016,K. Slater,Quiksilver Pro Gold Coast,Round 1,"['7.67', '2.17', '5.60', '0.83', '0.73', '1.17', '2.40', '0.37', '2.27', '2.23', '0.93']"
2016,C. Coffin,Quiksilver Pro Gold Coast,Round 1,"['0.43', '7.00', '3.00', '5.17', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0', '\xa0']"
2016,N. Young,Quiksilver Pro Gold Coast,Round 1,"['2.33', '3.27', '0.27', '6.27', '6.60', '1.50', '0.93', '\xa0', '\xa0', '\xa0']"
2016,A. Ribeiro,Quiksilver Pro Gold Coast,Round 1,"['3.67', '1.53', '4.93', '5.77', '0.43', '3.83', '6.37', '2.73', '1.77', '0.70']"
2016,K. Otton,Quiksilver Pro Gold Coast,Round 1,"['1.50', '5.00', '3.33', '2.27', '5.37', '6.13', '1.73', '0.30', '2.43', '\xa0']"
2016,T. Burrow,Quiksilver Pro Gold Coast,Round 1,"['2.67', '0.37', '2.13', '0.33', '0.87', '8.57', '5.07', '2.90', '2.23', '6.83', '0.43']"
